date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
08-12-2025,07:00:00,1765173600.0,BASELINE,mid,0,0,1,162.2035269418517,none,45.512634810287175,36.54918283476051,53.71433461027398,41.27990646258877,2.4951744164593075,simulated,0.0214995345690206,30.482624207553926,63.62762003239832,-45.512634810287175
08-12-2025,07:00:01,1765173601.0,BASELINE,mid,0,1,1,216.33621657739178,none,43.87783701011157,36.70237494290092,54.6531791735758,41.486394302311886,2.415631238442914,simulated,0.02228271384324264,37.338021781793884,62.957096473098616,-43.87783701011157
08-12-2025,07:00:02,1765173602.0,BASELINE,mid,0,2,1,275.8523991019441,none,45.88074899468392,36.242933657746214,53.70866935507249,41.31490428350505,2.4942794129730537,simulated,0.02133071722282841,39.468207852651844,51.235724139654984,-45.88074899468392
08-12-2025,07:00:03,1765173603.0,BASELINE,mid,0,3,1,183.68957952672454,none,46.49056847972447,36.83751166689996,53.82310969820284,41.14643668662556,2.5688952881589926,simulated,0.021056812584312145,44.010599988730235,57.591367162337164,-46.49056847972447
08-12-2025,07:00:04,1765173604.0,BASELINE,mid,0,4,1,50.20875121255001,none,48.615677874621156,37.52153026409695,54.78810123832385,41.506229742606564,2.7362019430232793,simulated,0.020154919630988425,33.952554034409445,44.872465749843485,-48.615677874621156
08-12-2025,07:00:05,1765173605.0,BASELINE,mid,0,5,0,141.4748810500747,cpu_fault,108.34785792917708,41.88144970887115,56.743780768552696,41.4482528655509,6.806648044387119,simulated,0.009145126561580058,50.1048516728758,54.51949047763632,-128.34785792917708
08-12-2025,07:00:06,1765173606.0,BASELINE,mid,0,6,0,216.11343290170464,latency_fault,210.5244253520263,44.21348801991683,56.829393580094425,41.728396409947386,13.962028737302536,simulated,0.004727586416253184,52.82977154054672,66.91096962410391,-230.5244253520263
08-12-2025,07:00:07,1765173607.0,BASELINE,mid,0,7,0,227.3727546387632,disk_fault,354.0442015257554,45.7474080052356,55.87868282368484,42.0681919823831,24.294906808629882,simulated,0.002816550715946444,49.305318907692985,60.19737110995143,-374.0442015257554
08-12-2025,07:00:08,1765173608.0,BASELINE,mid,0,8,1,226.31264313123313,none,345.83443354711005,46.02866669919896,56.009066592292875,42.21509875050878,23.877446812269298,simulated,0.0028832200706628264,41.89397822738942,63.064800712778826,-345.83443354711005
08-12-2025,07:00:09,1765173609.0,BASELINE,mid,0,9,1,252.03369011911096,none,344.404034875882,45.397097342942295,57.089661905944716,41.7178909570183,23.452415244843763,simulated,0.002895160157464117,46.054272139804546,57.80165947160933,-344.404034875882
08-12-2025,07:00:10,1765173610.0,BASELINE,mid,0,10,0,124.75392473427053,latency_fault,500.0,50.90724893387275,55.95529933065693,41.29991310200614,38.18043670040456,simulated,0.001996007984031936,56.89137123385777,56.99374784399314,-520.0
08-12-2025,07:00:11,1765173611.0,BASELINE,mid,0,11,1,272.0184505414006,none,484.3475161673878,50.95630046590877,55.85770735140163,41.167968456819835,37.02083634561303,simulated,0.002060379350236785,58.01679650374452,46.899335330318465,-484.3475161673878
08-12-2025,07:00:12,1765173612.0,BASELINE,mid,0,12,1,266.1681275416124,none,499.18780790702573,50.68009409907422,55.30946088085144,41.35911550228776,37.94832761675797,simulated,0.0019992490504404273,49.103992844414044,65.29297609114107,-499.18780790702573
08-12-2025,07:00:13,1765173613.0,BASELINE,mid,0,13,1,221.71252602468985,none,500.0,50.85471267027632,56.40021202731503,41.00949806325115,38.14103450270724,simulated,0.001996007984031936,50.682960397332955,53.47246752498996,-500.0
